name,url,description,test_type,adaptive_support,remote_support,duration,full_text,keywords
Managerial Accounting,https://www.shl.com/solutions/products/product-catalog/managerial-accounting/,"Cost accounting, budgeting, and decision-making",Knowledge & Skills (K),Yes,Yes,50,"Managerial Accounting. Cost accounting, budgeting, and decision-making. Test type: Knowledge & Skills (K). Duration: 50 minutes.","managerial accounting. cost accounting, budgeting, and decision-making. test type: knowledge & skills (k). duration: 50 minutes."
Investment Analysis,https://www.shl.com/solutions/products/product-catalog/investment-analysis/,"Portfolio management, securities analysis, and valuation",Knowledge & Skills (K),Yes,Yes,60,"Investment Analysis. Portfolio management, securities analysis, and valuation. Test type: Knowledge & Skills (K). Duration: 60 minutes.","investment analysis. portfolio management, securities analysis, and valuation. test type: knowledge & skills (k). duration: 60 minutes."
Risk Management,https://www.shl.com/solutions/products/product-catalog/risk-management/,Financial risk assessment and mitigation strategies,Knowledge & Skills (K),Yes,Yes,50,Risk Management. Financial risk assessment and mitigation strategies. Test type: Knowledge & Skills (K). Duration: 50 minutes.,risk management. financial risk assessment and mitigation strategies. test type: knowledge & skills (k). duration: 50 minutes.
Corporate Finance,https://www.shl.com/solutions/products/product-catalog/corporate-finance/,"Capital structure, financing decisions, and valuation",Knowledge & Skills (K),Yes,Yes,55,"Corporate Finance. Capital structure, financing decisions, and valuation. Test type: Knowledge & Skills (K). Duration: 55 minutes.","corporate finance. capital structure, financing decisions, and valuation. test type: knowledge & skills (k). duration: 55 minutes."
Financial Modeling,https://www.shl.com/solutions/products/product-catalog/financial-modeling/,Building financial models and forecasting,Knowledge & Skills (K),Yes,Yes,60,Financial Modeling. Building financial models and forecasting. Test type: Knowledge & Skills (K). Duration: 60 minutes.,financial modeling. building financial models and forecasting. test type: knowledge & skills (k). duration: 60 minutes.
Taxation,https://www.shl.com/solutions/products/product-catalog/taxation/,"Tax principles, planning, and compliance",Knowledge & Skills (K),Yes,Yes,50,"Taxation. Tax principles, planning, and compliance. Test type: Knowledge & Skills (K). Duration: 50 minutes.","taxation. tax principles, planning, and compliance. test type: knowledge & skills (k). duration: 50 minutes."
Auditing,https://www.shl.com/solutions/products/product-catalog/auditing/,"Audit procedures, standards, and internal controls",Knowledge & Skills (K),Yes,Yes,55,"Auditing. Audit procedures, standards, and internal controls. Test type: Knowledge & Skills (K). Duration: 55 minutes.","auditing. audit procedures, standards, and internal controls. test type: knowledge & skills (k). duration: 55 minutes."
Business Strategy,https://www.shl.com/solutions/products/product-catalog/business-strategy/,"Strategic planning, analysis, and execution",Knowledge & Skills (K),Yes,Yes,60,"Business Strategy. Strategic planning, analysis, and execution. Test type: Knowledge & Skills (K). Duration: 60 minutes.","business strategy. strategic planning, analysis, and execution. test type: knowledge & skills (k). duration: 60 minutes."
Market Research,https://www.shl.com/solutions/products/product-catalog/market-research/,"Research methodologies, analysis, and insights",Knowledge & Skills (K),Yes,Yes,45,"Market Research. Research methodologies, analysis, and insights. Test type: Knowledge & Skills (K). Duration: 45 minutes.","market research. research methodologies, analysis, and insights. test type: knowledge & skills (k). duration: 45 minutes."
Supply Chain Management,https://www.shl.com/solutions/products/product-catalog/supply-chain-management/,"Logistics, inventory, and supply chain optimization",Knowledge & Skills (K),Yes,Yes,50,"Supply Chain Management. Logistics, inventory, and supply chain optimization. Test type: Knowledge & Skills (K). Duration: 50 minutes.","supply chain management. logistics, inventory, and supply chain optimization. test type: knowledge & skills (k). duration: 50 minutes."
Operations Management,https://www.shl.com/solutions/products/product-catalog/operations-management/,"Process optimization, quality control, and efficiency",Knowledge & Skills (K),Yes,Yes,50,"Operations Management. Process optimization, quality control, and efficiency. Test type: Knowledge & Skills (K). Duration: 50 minutes.","operations management. process optimization, quality control, and efficiency. test type: knowledge & skills (k). duration: 50 minutes."
Procurement,https://www.shl.com/solutions/products/product-catalog/procurement/,"Purchasing, vendor management, and negotiation",Knowledge & Skills (K),Yes,Yes,40,"Procurement. Purchasing, vendor management, and negotiation. Test type: Knowledge & Skills (K). Duration: 40 minutes.","procurement. purchasing, vendor management, and negotiation. test type: knowledge & skills (k). duration: 40 minutes."
Business Law,https://www.shl.com/solutions/products/product-catalog/business-law/,"Contract law, business regulations, and compliance",Knowledge & Skills (K),Yes,Yes,50,"Business Law. Contract law, business regulations, and compliance. Test type: Knowledge & Skills (K). Duration: 50 minutes.","business law. contract law, business regulations, and compliance. test type: knowledge & skills (k). duration: 50 minutes."
Economics,https://www.shl.com/solutions/products/product-catalog/economics/,Micro and macroeconomics principles and analysis,Knowledge & Skills (K),Yes,Yes,50,Economics. Micro and macroeconomics principles and analysis. Test type: Knowledge & Skills (K). Duration: 50 minutes.,economics. micro and macroeconomics principles and analysis. test type: knowledge & skills (k). duration: 50 minutes.
Statistics,https://www.shl.com/solutions/products/product-catalog/statistics/,"Statistical methods, hypothesis testing, and inference",Knowledge & Skills (K),Yes,Yes,50,"Statistics. Statistical methods, hypothesis testing, and inference. Test type: Knowledge & Skills (K). Duration: 50 minutes.","statistics. statistical methods, hypothesis testing, and inference. test type: knowledge & skills (k). duration: 50 minutes."
Business Analytics,https://www.shl.com/solutions/products/product-catalog/business-analytics/,Data-driven decision making and analytical methods,Knowledge & Skills (K),Yes,Yes,55,Business Analytics. Data-driven decision making and analytical methods. Test type: Knowledge & Skills (K). Duration: 55 minutes.,business analytics. data-driven decision making and analytical methods. test type: knowledge & skills (k). duration: 55 minutes.
Econometrics,https://www.shl.com/solutions/products/product-catalog/econometrics/,Statistical analysis of economic data,Knowledge & Skills (K),Yes,Yes,55,Econometrics. Statistical analysis of economic data. Test type: Knowledge & Skills (K). Duration: 55 minutes.,econometrics. statistical analysis of economic data. test type: knowledge & skills (k). duration: 55 minutes.
Quantitative Methods,https://www.shl.com/solutions/products/product-catalog/quantitative-methods/,Mathematical and statistical modeling,Knowledge & Skills (K),Yes,Yes,50,Quantitative Methods. Mathematical and statistical modeling. Test type: Knowledge & Skills (K). Duration: 50 minutes.,quantitative methods. mathematical and statistical modeling. test type: knowledge & skills (k). duration: 50 minutes.
Mechanical Engineering,https://www.shl.com/solutions/products/product-catalog/mechanical-engineering/,"Mechanics, thermodynamics, and mechanical design",Knowledge & Skills (K),Yes,Yes,60,"Mechanical Engineering. Mechanics, thermodynamics, and mechanical design. Test type: Knowledge & Skills (K). Duration: 60 minutes.","mechanical engineering. mechanics, thermodynamics, and mechanical design. test type: knowledge & skills (k). duration: 60 minutes."
Electrical Engineering,https://www.shl.com/solutions/products/product-catalog/electrical-engineering/,"Circuit analysis, electronics, and electrical systems",Knowledge & Skills (K),Yes,Yes,60,"Electrical Engineering. Circuit analysis, electronics, and electrical systems. Test type: Knowledge & Skills (K). Duration: 60 minutes.","electrical engineering. circuit analysis, electronics, and electrical systems. test type: knowledge & skills (k). duration: 60 minutes."
Civil Engineering,https://www.shl.com/solutions/products/product-catalog/civil-engineering/,"Structural analysis, construction, and infrastructure",Knowledge & Skills (K),Yes,Yes,60,"Civil Engineering. Structural analysis, construction, and infrastructure. Test type: Knowledge & Skills (K). Duration: 60 minutes.","civil engineering. structural analysis, construction, and infrastructure. test type: knowledge & skills (k). duration: 60 minutes."
Chemical Engineering,https://www.shl.com/solutions/products/product-catalog/chemical-engineering/,"Process engineering, thermodynamics, and reactions",Knowledge & Skills (K),Yes,Yes,60,"Chemical Engineering. Process engineering, thermodynamics, and reactions. Test type: Knowledge & Skills (K). Duration: 60 minutes.","chemical engineering. process engineering, thermodynamics, and reactions. test type: knowledge & skills (k). duration: 60 minutes."
Industrial Engineering,https://www.shl.com/solutions/products/product-catalog/industrial-engineering/,"Process optimization, systems engineering, and efficiency",Knowledge & Skills (K),Yes,Yes,55,"Industrial Engineering. Process optimization, systems engineering, and efficiency. Test type: Knowledge & Skills (K). Duration: 55 minutes.","industrial engineering. process optimization, systems engineering, and efficiency. test type: knowledge & skills (k). duration: 55 minutes."
Aerospace Engineering,https://www.shl.com/solutions/products/product-catalog/aerospace-engineering/,"Aerodynamics, structures, and aerospace systems",Knowledge & Skills (K),Yes,Yes,65,"Aerospace Engineering. Aerodynamics, structures, and aerospace systems. Test type: Knowledge & Skills (K). Duration: 65 minutes.","aerospace engineering. aerodynamics, structures, and aerospace systems. test type: knowledge & skills (k). duration: 65 minutes."
Biomedical Engineering,https://www.shl.com/solutions/products/product-catalog/biomedical-engineering/,"Medical devices, biomechanics, and healthcare systems",Knowledge & Skills (K),Yes,Yes,60,"Biomedical Engineering. Medical devices, biomechanics, and healthcare systems. Test type: Knowledge & Skills (K). Duration: 60 minutes.","biomedical engineering. medical devices, biomechanics, and healthcare systems. test type: knowledge & skills (k). duration: 60 minutes."
Environmental Engineering,https://www.shl.com/solutions/products/product-catalog/environmental-engineering/,"Environmental systems, pollution control, and sustainability",Knowledge & Skills (K),Yes,Yes,55,"Environmental Engineering. Environmental systems, pollution control, and sustainability. Test type: Knowledge & Skills (K). Duration: 55 minutes.","environmental engineering. environmental systems, pollution control, and sustainability. test type: knowledge & skills (k). duration: 55 minutes."
Materials Science,https://www.shl.com/solutions/products/product-catalog/materials-science/,"Material properties, testing, and selection",Knowledge & Skills (K),Yes,Yes,50,"Materials Science. Material properties, testing, and selection. Test type: Knowledge & Skills (K). Duration: 50 minutes.","materials science. material properties, testing, and selection. test type: knowledge & skills (k). duration: 50 minutes."
Quality Engineering,https://www.shl.com/solutions/products/product-catalog/quality-engineering/,"Quality systems, Six Sigma, and process improvement",Knowledge & Skills (K),Yes,Yes,50,"Quality Engineering. Quality systems, Six Sigma, and process improvement. Test type: Knowledge & Skills (K). Duration: 50 minutes.","quality engineering. quality systems, six sigma, and process improvement. test type: knowledge & skills (k). duration: 50 minutes."
Biology,https://www.shl.com/solutions/products/product-catalog/biology/,"Cellular biology, genetics, and biological systems",Knowledge & Skills (K),Yes,Yes,50,"Biology. Cellular biology, genetics, and biological systems. Test type: Knowledge & Skills (K). Duration: 50 minutes.","biology. cellular biology, genetics, and biological systems. test type: knowledge & skills (k). duration: 50 minutes."
Chemistry,https://www.shl.com/solutions/products/product-catalog/chemistry/,"Organic, inorganic, and analytical chemistry",Knowledge & Skills (K),Yes,Yes,55,"Chemistry. Organic, inorganic, and analytical chemistry. Test type: Knowledge & Skills (K). Duration: 55 minutes.","chemistry. organic, inorganic, and analytical chemistry. test type: knowledge & skills (k). duration: 55 minutes."
Physics,https://www.shl.com/solutions/products/product-catalog/physics/,Classical and modern physics principles,Knowledge & Skills (K),Yes,Yes,55,Physics. Classical and modern physics principles. Test type: Knowledge & Skills (K). Duration: 55 minutes.,physics. classical and modern physics principles. test type: knowledge & skills (k). duration: 55 minutes.
Biochemistry,https://www.shl.com/solutions/products/product-catalog/biochemistry/,Molecular biology and biochemical processes,Knowledge & Skills (K),Yes,Yes,55,Biochemistry. Molecular biology and biochemical processes. Test type: Knowledge & Skills (K). Duration: 55 minutes.,biochemistry. molecular biology and biochemical processes. test type: knowledge & skills (k). duration: 55 minutes.
Microbiology,https://www.shl.com/solutions/products/product-catalog/microbiology/,"Microorganisms, pathogens, and laboratory techniques",Knowledge & Skills (K),Yes,Yes,50,"Microbiology. Microorganisms, pathogens, and laboratory techniques. Test type: Knowledge & Skills (K). Duration: 50 minutes.","microbiology. microorganisms, pathogens, and laboratory techniques. test type: knowledge & skills (k). duration: 50 minutes."
Pharmacology,https://www.shl.com/solutions/products/product-catalog/pharmacology/,"Drug mechanisms, interactions, and therapeutics",Knowledge & Skills (K),Yes,Yes,55,"Pharmacology. Drug mechanisms, interactions, and therapeutics. Test type: Knowledge & Skills (K). Duration: 55 minutes.","pharmacology. drug mechanisms, interactions, and therapeutics. test type: knowledge & skills (k). duration: 55 minutes."
Biotechnology,https://www.shl.com/solutions/products/product-catalog/biotechnology/,Genetic engineering and biotechnological applications,Knowledge & Skills (K),Yes,Yes,55,Biotechnology. Genetic engineering and biotechnological applications. Test type: Knowledge & Skills (K). Duration: 55 minutes.,biotechnology. genetic engineering and biotechnological applications. test type: knowledge & skills (k). duration: 55 minutes.
Laboratory Techniques,https://www.shl.com/solutions/products/product-catalog/laboratory-techniques/,"Scientific methods, equipment, and procedures",Knowledge & Skills (K),Yes,Yes,45,"Laboratory Techniques. Scientific methods, equipment, and procedures. Test type: Knowledge & Skills (K). Duration: 45 minutes.","laboratory techniques. scientific methods, equipment, and procedures. test type: knowledge & skills (k). duration: 45 minutes."
Research Methodology,https://www.shl.com/solutions/products/product-catalog/research-methodology/,"Experimental design, analysis, and scientific writing",Knowledge & Skills (K),Yes,Yes,50,"Research Methodology. Experimental design, analysis, and scientific writing. Test type: Knowledge & Skills (K). Duration: 50 minutes.","research methodology. experimental design, analysis, and scientific writing. test type: knowledge & skills (k). duration: 50 minutes."
Clinical Research,https://www.shl.com/solutions/products/product-catalog/clinical-research/,"Clinical trial design, ethics, and regulatory compliance",Knowledge & Skills (K),Yes,Yes,55,"Clinical Research. Clinical trial design, ethics, and regulatory compliance. Test type: Knowledge & Skills (K). Duration: 55 minutes.","clinical research. clinical trial design, ethics, and regulatory compliance. test type: knowledge & skills (k). duration: 55 minutes."
Medical Terminology,https://www.shl.com/solutions/products/product-catalog/medical-terminology/,Healthcare vocabulary and anatomical terms,Knowledge & Skills (K),Yes,Yes,40,Medical Terminology. Healthcare vocabulary and anatomical terms. Test type: Knowledge & Skills (K). Duration: 40 minutes.,medical terminology. healthcare vocabulary and anatomical terms. test type: knowledge & skills (k). duration: 40 minutes.
Nursing Knowledge,https://www.shl.com/solutions/products/product-catalog/nursing-knowledge/,"Patient care, pharmacology, and clinical procedures",Knowledge & Skills (K),Yes,Yes,60,"Nursing Knowledge. Patient care, pharmacology, and clinical procedures. Test type: Knowledge & Skills (K). Duration: 60 minutes.","nursing knowledge. patient care, pharmacology, and clinical procedures. test type: knowledge & skills (k). duration: 60 minutes."
Healthcare Administration,https://www.shl.com/solutions/products/product-catalog/healthcare-administration/,"Healthcare systems, policy, and management",Knowledge & Skills (K),Yes,Yes,50,"Healthcare Administration. Healthcare systems, policy, and management. Test type: Knowledge & Skills (K). Duration: 50 minutes.","healthcare administration. healthcare systems, policy, and management. test type: knowledge & skills (k). duration: 50 minutes."
Medical Coding,https://www.shl.com/solutions/products/product-catalog/medical-coding/,"ICD, CPT coding, and medical billing",Knowledge & Skills (K),Yes,Yes,45,"Medical Coding. ICD, CPT coding, and medical billing. Test type: Knowledge & Skills (K). Duration: 45 minutes.","medical coding. icd, cpt coding, and medical billing. test type: knowledge & skills (k). duration: 45 minutes."
Pharmacy,https://www.shl.com/solutions/products/product-catalog/pharmacy/,Pharmaceutical knowledge and dispensing practices,Knowledge & Skills (K),Yes,Yes,55,Pharmacy. Pharmaceutical knowledge and dispensing practices. Test type: Knowledge & Skills (K). Duration: 55 minutes.,pharmacy. pharmaceutical knowledge and dispensing practices. test type: knowledge & skills (k). duration: 55 minutes.
Radiology,https://www.shl.com/solutions/products/product-catalog/radiology/,Imaging techniques and interpretation,Knowledge & Skills (K),Yes,Yes,50,Radiology. Imaging techniques and interpretation. Test type: Knowledge & Skills (K). Duration: 50 minutes.,radiology. imaging techniques and interpretation. test type: knowledge & skills (k). duration: 50 minutes.
Physical Therapy,https://www.shl.com/solutions/products/product-catalog/physical-therapy/,Rehabilitation techniques and therapeutic exercises,Knowledge & Skills (K),Yes,Yes,50,Physical Therapy. Rehabilitation techniques and therapeutic exercises. Test type: Knowledge & Skills (K). Duration: 50 minutes.,physical therapy. rehabilitation techniques and therapeutic exercises. test type: knowledge & skills (k). duration: 50 minutes.
Nutrition,https://www.shl.com/solutions/products/product-catalog/nutrition/,"Dietary principles, assessment, and counseling",Knowledge & Skills (K),Yes,Yes,45,"Nutrition. Dietary principles, assessment, and counseling. Test type: Knowledge & Skills (K). Duration: 45 minutes.","nutrition. dietary principles, assessment, and counseling. test type: knowledge & skills (k). duration: 45 minutes."
Legal Research,https://www.shl.com/solutions/products/product-catalog/legal-research/,"Case law research, legal databases, and analysis",Knowledge & Skills (K),Yes,Yes,50,"Legal Research. Case law research, legal databases, and analysis. Test type: Knowledge & Skills (K). Duration: 50 minutes.","legal research. case law research, legal databases, and analysis. test type: knowledge & skills (k). duration: 50 minutes."
Contract Law,https://www.shl.com/solutions/products/product-catalog/contract-law/,"Contract formation, interpretation, and enforcement",Knowledge & Skills (K),Yes,Yes,55,"Contract Law. Contract formation, interpretation, and enforcement. Test type: Knowledge & Skills (K). Duration: 55 minutes.","contract law. contract formation, interpretation, and enforcement. test type: knowledge & skills (k). duration: 55 minutes."
Criminal Law,https://www.shl.com/solutions/products/product-catalog/criminal-law/,"Criminal procedure, evidence, and substantive law",Knowledge & Skills (K),Yes,Yes,55,"Criminal Law. Criminal procedure, evidence, and substantive law. Test type: Knowledge & Skills (K). Duration: 55 minutes.","criminal law. criminal procedure, evidence, and substantive law. test type: knowledge & skills (k). duration: 55 minutes."
Corporate Law,https://www.shl.com/solutions/products/product-catalog/corporate-law/,"Business entities, governance, and transactions",Knowledge & Skills (K),Yes,Yes,55,"Corporate Law. Business entities, governance, and transactions. Test type: Knowledge & Skills (K). Duration: 55 minutes.","corporate law. business entities, governance, and transactions. test type: knowledge & skills (k). duration: 55 minutes."
Intellectual Property,https://www.shl.com/solutions/products/product-catalog/intellectual-property/,"Patents, trademarks, copyrights, and IP law",Knowledge & Skills (K),Yes,Yes,50,"Intellectual Property. Patents, trademarks, copyrights, and IP law. Test type: Knowledge & Skills (K). Duration: 50 minutes.","intellectual property. patents, trademarks, copyrights, and ip law. test type: knowledge & skills (k). duration: 50 minutes."
Employment Law,https://www.shl.com/solutions/products/product-catalog/employment-law/,"Labor laws, discrimination, and workplace regulations",Knowledge & Skills (K),Yes,Yes,50,"Employment Law. Labor laws, discrimination, and workplace regulations. Test type: Knowledge & Skills (K). Duration: 50 minutes.","employment law. labor laws, discrimination, and workplace regulations. test type: knowledge & skills (k). duration: 50 minutes."
Legal Writing,https://www.shl.com/solutions/products/product-catalog/legal-writing/,"Legal documents, briefs, and professional writing",Knowledge & Skills (K),Yes,Yes,45,"Legal Writing. Legal documents, briefs, and professional writing. Test type: Knowledge & Skills (K). Duration: 45 minutes.","legal writing. legal documents, briefs, and professional writing. test type: knowledge & skills (k). duration: 45 minutes."
English Proficiency,https://www.shl.com/solutions/products/product-catalog/english-proficiency/,"Grammar, vocabulary, and written communication",Knowledge & Skills (K),No,Yes,40,"English Proficiency. Grammar, vocabulary, and written communication. Test type: Knowledge & Skills (K). Duration: 40 minutes.","english proficiency. grammar, vocabulary, and written communication. test type: knowledge & skills (k). duration: 40 minutes."
Spanish Language,https://www.shl.com/solutions/products/product-catalog/spanish-language/,"Spanish grammar, vocabulary, and comprehension",Knowledge & Skills (K),No,Yes,40,"Spanish Language. Spanish grammar, vocabulary, and comprehension. Test type: Knowledge & Skills (K). Duration: 40 minutes.","spanish language. spanish grammar, vocabulary, and comprehension. test type: knowledge & skills (k). duration: 40 minutes."
French Language,https://www.shl.com/solutions/products/product-catalog/french-language/,"French grammar, vocabulary, and comprehension",Knowledge & Skills (K),No,Yes,40,"French Language. French grammar, vocabulary, and comprehension. Test type: Knowledge & Skills (K). Duration: 40 minutes.","french language. french grammar, vocabulary, and comprehension. test type: knowledge & skills (k). duration: 40 minutes."
German Language,https://www.shl.com/solutions/products/product-catalog/german-language/,"German grammar, vocabulary, and comprehension",Knowledge & Skills (K),No,Yes,40,"German Language. German grammar, vocabulary, and comprehension. Test type: Knowledge & Skills (K). Duration: 40 minutes.","german language. german grammar, vocabulary, and comprehension. test type: knowledge & skills (k). duration: 40 minutes."
Mandarin Chinese,https://www.shl.com/solutions/products/product-catalog/mandarin-chinese/,Chinese language proficiency and comprehension,Knowledge & Skills (K),No,Yes,45,Mandarin Chinese. Chinese language proficiency and comprehension. Test type: Knowledge & Skills (K). Duration: 45 minutes.,mandarin chinese. chinese language proficiency and comprehension. test type: knowledge & skills (k). duration: 45 minutes.
Japanese Language,https://www.shl.com/solutions/products/product-catalog/japanese-language/,Japanese grammar and language proficiency,Knowledge & Skills (K),No,Yes,45,Japanese Language. Japanese grammar and language proficiency. Test type: Knowledge & Skills (K). Duration: 45 minutes.,japanese language. japanese grammar and language proficiency. test type: knowledge & skills (k). duration: 45 minutes.
Arabic Language,https://www.shl.com/solutions/products/product-catalog/arabic-language/,Arabic language proficiency and comprehension,Knowledge & Skills (K),No,Yes,45,Arabic Language. Arabic language proficiency and comprehension. Test type: Knowledge & Skills (K). Duration: 45 minutes.,arabic language. arabic language proficiency and comprehension. test type: knowledge & skills (k). duration: 45 minutes.
Retail Management,https://www.shl.com/solutions/products/product-catalog/retail-management/,"Store operations, merchandising, and sales management",Knowledge & Skills (K),No,Yes,30,"Retail Management. Store operations, merchandising, and sales management. Test type: Knowledge & Skills (K). Duration: 30 minutes.","retail management. store operations, merchandising, and sales management. test type: knowledge & skills (k). duration: 30 minutes."
Restaurant Management,https://www.shl.com/solutions/products/product-catalog/restaurant-management/,Food service operations and hospitality,Knowledge & Skills (K),No,Yes,30,Restaurant Management. Food service operations and hospitality. Test type: Knowledge & Skills (K). Duration: 30 minutes.,restaurant management. food service operations and hospitality. test type: knowledge & skills (k). duration: 30 minutes.
Banking Operations,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,"Banking procedures, products, and regulations",Knowledge & Skills (K),No,Yes,30,"Banking Operations. Banking procedures, products, and regulations. Test type: Knowledge & Skills (K). Duration: 30 minutes.","banking operations. banking procedures, products, and regulations. test type: knowledge & skills (k). duration: 30 minutes."
Insurance Knowledge,https://www.shl.com/solutions/products/product-catalog/insurance-knowledge/,"Insurance principles, products, and underwriting",Knowledge & Skills (K),No,Yes,30,"Insurance Knowledge. Insurance principles, products, and underwriting. Test type: Knowledge & Skills (K). Duration: 30 minutes.","insurance knowledge. insurance principles, products, and underwriting. test type: knowledge & skills (k). duration: 30 minutes."
Real Estate,https://www.shl.com/solutions/products/product-catalog/real-estate/,"Property transactions, law, and market knowledge",Knowledge & Skills (K),No,Yes,30,"Real Estate. Property transactions, law, and market knowledge. Test type: Knowledge & Skills (K). Duration: 30 minutes.","real estate. property transactions, law, and market knowledge. test type: knowledge & skills (k). duration: 30 minutes."
Construction Management,https://www.shl.com/solutions/products/product-catalog/construction-management/,Project management in construction industry,Knowledge & Skills (K),No,Yes,30,Construction Management. Project management in construction industry. Test type: Knowledge & Skills (K). Duration: 30 minutes.,construction management. project management in construction industry. test type: knowledge & skills (k). duration: 30 minutes.
Manufacturing Processes,https://www.shl.com/solutions/products/product-catalog/manufacturing-processes/,Production systems and quality control,Knowledge & Skills (K),No,Yes,30,Manufacturing Processes. Production systems and quality control. Test type: Knowledge & Skills (K). Duration: 30 minutes.,manufacturing processes. production systems and quality control. test type: knowledge & skills (k). duration: 30 minutes.
Logistics & Transportation,https://www.shl.com/solutions/products/product-catalog/logistics-and-transportation/,Transportation management and logistics,Knowledge & Skills (K),No,Yes,30,Logistics & Transportation. Transportation management and logistics. Test type: Knowledge & Skills (K). Duration: 30 minutes.,logistics & transportation. transportation management and logistics. test type: knowledge & skills (k). duration: 30 minutes.
Hospitality Management,https://www.shl.com/solutions/products/product-catalog/hospitality-management/,Hotel operations and guest services,Knowledge & Skills (K),No,Yes,30,Hospitality Management. Hotel operations and guest services. Test type: Knowledge & Skills (K). Duration: 30 minutes.,hospitality management. hotel operations and guest services. test type: knowledge & skills (k). duration: 30 minutes.
