name,url,description,test_type,adaptive_support,remote_support,duration,full_text,keywords
Event Planning,https://www.shl.com/solutions/products/product-catalog/event-planning/,"Event coordination, planning, and execution",Knowledge & Skills (K),No,Yes,30,"Event Planning. Event coordination, planning, and execution. Test type: Knowledge & Skills (K). Duration: 30 minutes.","event planning. event coordination, planning, and execution. test type: knowledge & skills (k). duration: 30 minutes."
Travel & Tourism,https://www.shl.com/solutions/products/product-catalog/travel-and-tourism/,Tourism industry knowledge and customer service,Knowledge & Skills (K),No,Yes,30,Travel & Tourism. Tourism industry knowledge and customer service. Test type: Knowledge & Skills (K). Duration: 30 minutes.,travel & tourism. tourism industry knowledge and customer service. test type: knowledge & skills (k). duration: 30 minutes.
Agriculture,https://www.shl.com/solutions/products/product-catalog/agriculture/,"Farming practices, agronomy, and agricultural science",Knowledge & Skills (K),No,Yes,30,"Agriculture. Farming practices, agronomy, and agricultural science. Test type: Knowledge & Skills (K). Duration: 30 minutes.","agriculture. farming practices, agronomy, and agricultural science. test type: knowledge & skills (k). duration: 30 minutes."
Veterinary Knowledge,https://www.shl.com/solutions/products/product-catalog/veterinary-knowledge/,Animal care and veterinary medicine,Knowledge & Skills (K),No,Yes,30,Veterinary Knowledge. Animal care and veterinary medicine. Test type: Knowledge & Skills (K). Duration: 30 minutes.,veterinary knowledge. animal care and veterinary medicine. test type: knowledge & skills (k). duration: 30 minutes.
Education & Teaching,https://www.shl.com/solutions/products/product-catalog/education-and-teaching/,Pedagogical methods and instructional design,Knowledge & Skills (K),No,Yes,30,Education & Teaching. Pedagogical methods and instructional design. Test type: Knowledge & Skills (K). Duration: 30 minutes.,education & teaching. pedagogical methods and instructional design. test type: knowledge & skills (k). duration: 30 minutes.
Library Science,https://www.shl.com/solutions/products/product-catalog/library-science/,Information management and library operations,Knowledge & Skills (K),No,Yes,30,Library Science. Information management and library operations. Test type: Knowledge & Skills (K). Duration: 30 minutes.,library science. information management and library operations. test type: knowledge & skills (k). duration: 30 minutes.
Social Work,https://www.shl.com/solutions/products/product-catalog/social-work/,"Counseling, case management, and social services",Knowledge & Skills (K),No,Yes,30,"Social Work. Counseling, case management, and social services. Test type: Knowledge & Skills (K). Duration: 30 minutes.","social work. counseling, case management, and social services. test type: knowledge & skills (k). duration: 30 minutes."
Public Administration,https://www.shl.com/solutions/products/product-catalog/public-administration/,Government operations and public policy,Knowledge & Skills (K),No,Yes,30,Public Administration. Government operations and public policy. Test type: Knowledge & Skills (K). Duration: 30 minutes.,public administration. government operations and public policy. test type: knowledge & skills (k). duration: 30 minutes.
Nonprofit Management,https://www.shl.com/solutions/products/product-catalog/nonprofit-management/,Nonprofit operations and fundraising,Knowledge & Skills (K),No,Yes,30,Nonprofit Management. Nonprofit operations and fundraising. Test type: Knowledge & Skills (K). Duration: 30 minutes.,nonprofit management. nonprofit operations and fundraising. test type: knowledge & skills (k). duration: 30 minutes.
Sports Management,https://www.shl.com/solutions/products/product-catalog/sports-management/,Sports business and athletic administration,Knowledge & Skills (K),No,Yes,30,Sports Management. Sports business and athletic administration. Test type: Knowledge & Skills (K). Duration: 30 minutes.,sports management. sports business and athletic administration. test type: knowledge & skills (k). duration: 30 minutes.
Entertainment Industry,https://www.shl.com/solutions/products/product-catalog/entertainment-industry/,"Media, entertainment business, and production",Knowledge & Skills (K),No,Yes,30,"Entertainment Industry. Media, entertainment business, and production. Test type: Knowledge & Skills (K). Duration: 30 minutes.","entertainment industry. media, entertainment business, and production. test type: knowledge & skills (k). duration: 30 minutes."
Workplace Safety,https://www.shl.com/solutions/products/product-catalog/workplace-safety/,OSHA standards and safety procedures,Knowledge & Skills (K),Yes,Yes,30,Workplace Safety. OSHA standards and safety procedures. Test type: Knowledge & Skills (K). Duration: 30 minutes.,workplace safety. osha standards and safety procedures. test type: knowledge & skills (k). duration: 30 minutes.
Environmental Compliance,https://www.shl.com/solutions/products/product-catalog/environmental-compliance/,Environmental regulations and sustainability,Knowledge & Skills (K),Yes,Yes,30,Environmental Compliance. Environmental regulations and sustainability. Test type: Knowledge & Skills (K). Duration: 30 minutes.,environmental compliance. environmental regulations and sustainability. test type: knowledge & skills (k). duration: 30 minutes.
Food Safety,https://www.shl.com/solutions/products/product-catalog/food-safety/,"Food handling, sanitation, and safety standards",Knowledge & Skills (K),Yes,Yes,30,"Food Safety. Food handling, sanitation, and safety standards. Test type: Knowledge & Skills (K). Duration: 30 minutes.","food safety. food handling, sanitation, and safety standards. test type: knowledge & skills (k). duration: 30 minutes."
Healthcare Compliance,https://www.shl.com/solutions/products/product-catalog/healthcare-compliance/,HIPAA and healthcare regulations,Knowledge & Skills (K),Yes,Yes,30,Healthcare Compliance. HIPAA and healthcare regulations. Test type: Knowledge & Skills (K). Duration: 30 minutes.,healthcare compliance. hipaa and healthcare regulations. test type: knowledge & skills (k). duration: 30 minutes.
Data Privacy,https://www.shl.com/solutions/products/product-catalog/data-privacy/,"GDPR, data protection, and privacy laws",Knowledge & Skills (K),Yes,Yes,30,"Data Privacy. GDPR, data protection, and privacy laws. Test type: Knowledge & Skills (K). Duration: 30 minutes.","data privacy. gdpr, data protection, and privacy laws. test type: knowledge & skills (k). duration: 30 minutes."
Information Security,https://www.shl.com/solutions/products/product-catalog/information-security/,"Security policies, procedures, and compliance",Knowledge & Skills (K),Yes,Yes,30,"Information Security. Security policies, procedures, and compliance. Test type: Knowledge & Skills (K). Duration: 30 minutes.","information security. security policies, procedures, and compliance. test type: knowledge & skills (k). duration: 30 minutes."
Ethics & Compliance,https://www.shl.com/solutions/products/product-catalog/ethics-and-compliance/,Corporate ethics and regulatory compliance,Knowledge & Skills (K),Yes,Yes,30,Ethics & Compliance. Corporate ethics and regulatory compliance. Test type: Knowledge & Skills (K). Duration: 30 minutes.,ethics & compliance. corporate ethics and regulatory compliance. test type: knowledge & skills (k). duration: 30 minutes.
Leadership,https://www.shl.com/solutions/products/product-catalog/leadership/,"Leadership style, decision-making, and team influence",Personality & Behavior (P),No,Yes,30,"Leadership. Leadership style, decision-making, and team influence. Test type: Personality & Behavior (P). Duration: 30 minutes.","leadership. leadership style, decision-making, and team influence. test type: personality & behavior (p). duration: 30 minutes."
Teamwork & Collaboration,https://www.shl.com/solutions/products/product-catalog/teamwork-and-collaboration/,"Team dynamics, cooperation, and interpersonal effectiveness",Personality & Behavior (P),No,Yes,30,"Teamwork & Collaboration. Team dynamics, cooperation, and interpersonal effectiveness. Test type: Personality & Behavior (P). Duration: 30 minutes.","teamwork & collaboration. team dynamics, cooperation, and interpersonal effectiveness. test type: personality & behavior (p). duration: 30 minutes."
Communication Skills,https://www.shl.com/solutions/products/product-catalog/communication-skills/,Verbal and written communication effectiveness,Personality & Behavior (P),No,Yes,30,Communication Skills. Verbal and written communication effectiveness. Test type: Personality & Behavior (P). Duration: 30 minutes.,communication skills. verbal and written communication effectiveness. test type: personality & behavior (p). duration: 30 minutes.
Emotional Intelligence,https://www.shl.com/solutions/products/product-catalog/emotional-intelligence/,"Self-awareness, empathy, and relationship management",Personality & Behavior (P),No,Yes,30,"Emotional Intelligence. Self-awareness, empathy, and relationship management. Test type: Personality & Behavior (P). Duration: 30 minutes.","emotional intelligence. self-awareness, empathy, and relationship management. test type: personality & behavior (p). duration: 30 minutes."
Adaptability,https://www.shl.com/solutions/products/product-catalog/adaptability/,"Flexibility, resilience, and change management",Personality & Behavior (P),No,Yes,30,"Adaptability. Flexibility, resilience, and change management. Test type: Personality & Behavior (P). Duration: 30 minutes.","adaptability. flexibility, resilience, and change management. test type: personality & behavior (p). duration: 30 minutes."
Problem Solving,https://www.shl.com/solutions/products/product-catalog/view/verify-ability-next-generation/,Analytical thinking and creative problem resolution,Personality & Behavior (P),No,Yes,30,Problem Solving. Analytical thinking and creative problem resolution. Test type: Personality & Behavior (P). Duration: 30 minutes.,problem solving. analytical thinking and creative problem resolution. test type: personality & behavior (p). duration: 30 minutes.
Critical Thinking,https://www.shl.com/solutions/products/product-catalog/critical-thinking/,"Logical reasoning, analysis, and judgment",Personality & Behavior (P),No,Yes,30,"Critical Thinking. Logical reasoning, analysis, and judgment. Test type: Personality & Behavior (P). Duration: 30 minutes.","critical thinking. logical reasoning, analysis, and judgment. test type: personality & behavior (p). duration: 30 minutes."
Decision Making,https://www.shl.com/solutions/products/product-catalog/decision-making/,"Decision quality, risk assessment, and judgment",Personality & Behavior (P),No,Yes,30,"Decision Making. Decision quality, risk assessment, and judgment. Test type: Personality & Behavior (P). Duration: 30 minutes.","decision making. decision quality, risk assessment, and judgment. test type: personality & behavior (p). duration: 30 minutes."
Conflict Resolution,https://www.shl.com/solutions/products/product-catalog/conflict-resolution/,Managing disagreements and finding solutions,Personality & Behavior (P),No,Yes,30,Conflict Resolution. Managing disagreements and finding solutions. Test type: Personality & Behavior (P). Duration: 30 minutes.,conflict resolution. managing disagreements and finding solutions. test type: personality & behavior (p). duration: 30 minutes.
Interpersonal Skills,https://www.shl.com/solutions/products/product-catalog/view/interpersonal-communications/,Social awareness and relationship building,Personality & Behavior (P),No,Yes,30,Interpersonal Skills. Social awareness and relationship building. Test type: Personality & Behavior (P). Duration: 30 minutes.,interpersonal skills. social awareness and relationship building. test type: personality & behavior (p). duration: 30 minutes.
Customer Service Orientation,https://www.shl.com/solutions/products/product-catalog/customer-service-orientation/,Customer focus and service excellence,Personality & Behavior (P),No,Yes,30,Customer Service Orientation. Customer focus and service excellence. Test type: Personality & Behavior (P). Duration: 30 minutes.,customer service orientation. customer focus and service excellence. test type: personality & behavior (p). duration: 30 minutes.
Sales Aptitude,https://www.shl.com/solutions/products/product-catalog/view/universal-sales-7-1/,"Sales skills, persuasion, and customer engagement",Personality & Behavior (P),No,Yes,30,"Sales Aptitude. Sales skills, persuasion, and customer engagement. Test type: Personality & Behavior (P). Duration: 30 minutes.","sales aptitude. sales skills, persuasion, and customer engagement. test type: personality & behavior (p). duration: 30 minutes."
Attention to Detail,https://www.shl.com/solutions/products/product-catalog/attention-to-detail/,"Accuracy, precision, and thoroughness",Personality & Behavior (P),No,Yes,30,"Attention to Detail. Accuracy, precision, and thoroughness. Test type: Personality & Behavior (P). Duration: 30 minutes.","attention to detail. accuracy, precision, and thoroughness. test type: personality & behavior (p). duration: 30 minutes."
Time Management,https://www.shl.com/solutions/products/product-catalog/time-management/,"Prioritization, planning, and efficiency",Personality & Behavior (P),No,Yes,30,"Time Management. Prioritization, planning, and efficiency. Test type: Personality & Behavior (P). Duration: 30 minutes.","time management. prioritization, planning, and efficiency. test type: personality & behavior (p). duration: 30 minutes."
Organizational Skills,https://www.shl.com/solutions/products/product-catalog/organizational-skills/,"Planning, coordination, and resource management",Personality & Behavior (P),No,Yes,30,"Organizational Skills. Planning, coordination, and resource management. Test type: Personality & Behavior (P). Duration: 30 minutes.","organizational skills. planning, coordination, and resource management. test type: personality & behavior (p). duration: 30 minutes."
Work Ethic,https://www.shl.com/solutions/products/product-catalog/work-ethic/,"Dependability, responsibility, and commitment",Personality & Behavior (P),No,Yes,30,"Work Ethic. Dependability, responsibility, and commitment. Test type: Personality & Behavior (P). Duration: 30 minutes.","work ethic. dependability, responsibility, and commitment. test type: personality & behavior (p). duration: 30 minutes."
Integrity,https://www.shl.com/solutions/products/product-catalog/integrity/,"Honesty, ethics, and trustworthiness",Personality & Behavior (P),No,Yes,30,"Integrity. Honesty, ethics, and trustworthiness. Test type: Personality & Behavior (P). Duration: 30 minutes.","integrity. honesty, ethics, and trustworthiness. test type: personality & behavior (p). duration: 30 minutes."
Initiative,https://www.shl.com/solutions/products/product-catalog/initiative/,"Proactivity, self-motivation, and drive",Personality & Behavior (P),No,Yes,30,"Initiative. Proactivity, self-motivation, and drive. Test type: Personality & Behavior (P). Duration: 30 minutes.","initiative. proactivity, self-motivation, and drive. test type: personality & behavior (p). duration: 30 minutes."
Creativity,https://www.shl.com/solutions/products/product-catalog/creativity/,"Innovation, original thinking, and idea generation",Personality & Behavior (P),No,Yes,30,"Creativity. Innovation, original thinking, and idea generation. Test type: Personality & Behavior (P). Duration: 30 minutes.","creativity. innovation, original thinking, and idea generation. test type: personality & behavior (p). duration: 30 minutes."
Stress Tolerance,https://www.shl.com/solutions/products/product-catalog/stress-tolerance/,Managing pressure and maintaining performance,Personality & Behavior (P),No,Yes,30,Stress Tolerance. Managing pressure and maintaining performance. Test type: Personality & Behavior (P). Duration: 30 minutes.,stress tolerance. managing pressure and maintaining performance. test type: personality & behavior (p). duration: 30 minutes.
Negotiation Skills,https://www.shl.com/solutions/products/product-catalog/negotiation-skills/,"Influencing, bargaining, and reaching agreements",Personality & Behavior (P),No,Yes,30,"Negotiation Skills. Influencing, bargaining, and reaching agreements. Test type: Personality & Behavior (P). Duration: 30 minutes.","negotiation skills. influencing, bargaining, and reaching agreements. test type: personality & behavior (p). duration: 30 minutes."
Presentation Skills,https://www.shl.com/solutions/products/product-catalog/presentation-skills/,Public speaking and professional presentation,Personality & Behavior (P),No,Yes,30,Presentation Skills. Public speaking and professional presentation. Test type: Personality & Behavior (P). Duration: 30 minutes.,presentation skills. public speaking and professional presentation. test type: personality & behavior (p). duration: 30 minutes.
Analytical Thinking,https://www.shl.com/solutions/products/product-catalog/analytical-thinking/,"Data analysis, logical reasoning, and insights",Personality & Behavior (P),No,Yes,30,"Analytical Thinking. Data analysis, logical reasoning, and insights. Test type: Personality & Behavior (P). Duration: 30 minutes.","analytical thinking. data analysis, logical reasoning, and insights. test type: personality & behavior (p). duration: 30 minutes."
Strategic Thinking,https://www.shl.com/solutions/products/product-catalog/strategic-thinking/,Long-term planning and vision,Personality & Behavior (P),No,Yes,30,Strategic Thinking. Long-term planning and vision. Test type: Personality & Behavior (P). Duration: 30 minutes.,strategic thinking. long-term planning and vision. test type: personality & behavior (p). duration: 30 minutes.
Cultural Awareness,https://www.shl.com/solutions/products/product-catalog/cultural-awareness/,Diversity appreciation and cross-cultural competence,Personality & Behavior (P),No,Yes,30,Cultural Awareness. Diversity appreciation and cross-cultural competence. Test type: Personality & Behavior (P). Duration: 30 minutes.,cultural awareness. diversity appreciation and cross-cultural competence. test type: personality & behavior (p). duration: 30 minutes.
Coaching & Mentoring,https://www.shl.com/solutions/products/product-catalog/coaching-and-mentoring/,Developing others and providing guidance,Personality & Behavior (P),No,Yes,30,Coaching & Mentoring. Developing others and providing guidance. Test type: Personality & Behavior (P). Duration: 30 minutes.,coaching & mentoring. developing others and providing guidance. test type: personality & behavior (p). duration: 30 minutes.
Delegation,https://www.shl.com/solutions/products/product-catalog/delegation/,Task assignment and empowerment,Personality & Behavior (P),No,Yes,30,Delegation. Task assignment and empowerment. Test type: Personality & Behavior (P). Duration: 30 minutes.,delegation. task assignment and empowerment. test type: personality & behavior (p). duration: 30 minutes.
Risk Taking,https://www.shl.com/solutions/products/product-catalog/risk-taking/,Calculated risk-taking and innovation,Personality & Behavior (P),No,Yes,30,Risk Taking. Calculated risk-taking and innovation. Test type: Personality & Behavior (P). Duration: 30 minutes.,risk taking. calculated risk-taking and innovation. test type: personality & behavior (p). duration: 30 minutes.
Persuasion,https://www.shl.com/solutions/products/product-catalog/persuasion/,Influencing and convincing others,Personality & Behavior (P),No,Yes,30,Persuasion. Influencing and convincing others. Test type: Personality & Behavior (P). Duration: 30 minutes.,persuasion. influencing and convincing others. test type: personality & behavior (p). duration: 30 minutes.
Assertiveness,https://www.shl.com/solutions/products/product-catalog/assertiveness/,Confident communication and boundary setting,Personality & Behavior (P),No,Yes,30,Assertiveness. Confident communication and boundary setting. Test type: Personality & Behavior (P). Duration: 30 minutes.,assertiveness. confident communication and boundary setting. test type: personality & behavior (p). duration: 30 minutes.
Empathy,https://www.shl.com/solutions/products/product-catalog/empathy/,Understanding and responding to others' feelings,Personality & Behavior (P),No,Yes,30,Empathy. Understanding and responding to others' feelings. Test type: Personality & Behavior (P). Duration: 30 minutes.,empathy. understanding and responding to others' feelings. test type: personality & behavior (p). duration: 30 minutes.
Listening Skills,https://www.shl.com/solutions/products/product-catalog/listening-skills/,Active listening and comprehension,Personality & Behavior (P),No,Yes,30,Listening Skills. Active listening and comprehension. Test type: Personality & Behavior (P). Duration: 30 minutes.,listening skills. active listening and comprehension. test type: personality & behavior (p). duration: 30 minutes.
Relationship Building,https://www.shl.com/solutions/products/product-catalog/relationship-building/,Networking and connection development,Personality & Behavior (P),No,Yes,30,Relationship Building. Networking and connection development. Test type: Personality & Behavior (P). Duration: 30 minutes.,relationship building. networking and connection development. test type: personality & behavior (p). duration: 30 minutes.
Trust Building,https://www.shl.com/solutions/products/product-catalog/trust-building/,Establishing credibility and reliability,Personality & Behavior (P),No,Yes,30,Trust Building. Establishing credibility and reliability. Test type: Personality & Behavior (P). Duration: 30 minutes.,trust building. establishing credibility and reliability. test type: personality & behavior (p). duration: 30 minutes.
Motivating Others,https://www.shl.com/solutions/products/product-catalog/motivating-others/,Inspiring and energizing team members,Personality & Behavior (P),No,Yes,30,Motivating Others. Inspiring and energizing team members. Test type: Personality & Behavior (P). Duration: 30 minutes.,motivating others. inspiring and energizing team members. test type: personality & behavior (p). duration: 30 minutes.
Change Management,https://www.shl.com/solutions/products/product-catalog/change-management/,Leading and adapting to organizational change,Personality & Behavior (P),No,Yes,30,Change Management. Leading and adapting to organizational change. Test type: Personality & Behavior (P). Duration: 30 minutes.,change management. leading and adapting to organizational change. test type: personality & behavior (p). duration: 30 minutes.
Innovation,https://www.shl.com/solutions/products/product-catalog/innovation/,Generating and implementing new ideas,Personality & Behavior (P),No,Yes,30,Innovation. Generating and implementing new ideas. Test type: Personality & Behavior (P). Duration: 30 minutes.,innovation. generating and implementing new ideas. test type: personality & behavior (p). duration: 30 minutes.
Business Acumen,https://www.shl.com/solutions/products/product-catalog/business-acumen/,Understanding business dynamics and strategy,Personality & Behavior (P),No,Yes,30,Business Acumen. Understanding business dynamics and strategy. Test type: Personality & Behavior (P). Duration: 30 minutes.,business acumen. understanding business dynamics and strategy. test type: personality & behavior (p). duration: 30 minutes.
Customer Relationship Management,https://www.shl.com/solutions/products/product-catalog/customer-relationship-management/,Building and maintaining client relationships,Personality & Behavior (P),No,Yes,30,Customer Relationship Management. Building and maintaining client relationships. Test type: Personality & Behavior (P). Duration: 30 minutes.,customer relationship management. building and maintaining client relationships. test type: personality & behavior (p). duration: 30 minutes.
Stakeholder Management,https://www.shl.com/solutions/products/product-catalog/stakeholder-management/,Managing expectations and relationships,Personality & Behavior (P),No,Yes,30,Stakeholder Management. Managing expectations and relationships. Test type: Personality & Behavior (P). Duration: 30 minutes.,stakeholder management. managing expectations and relationships. test type: personality & behavior (p). duration: 30 minutes.
Numerical Reasoning,https://www.shl.com/solutions/products/product-catalog/view/verify-numerical-ability/,Mathematical problem solving and data interpretation,Cognitive Ability (A),Yes,Yes,25,Numerical Reasoning. Mathematical problem solving and data interpretation. Test type: Cognitive Ability (A). Duration: 25 minutes.,numerical reasoning. mathematical problem solving and data interpretation. test type: cognitive ability (a). duration: 25 minutes.
Verbal Reasoning,https://www.shl.com/solutions/products/product-catalog/view/verbal-and-numerical-critical-reasoning-intermediate-general/,Language comprehension and logical arguments,Cognitive Ability (A),Yes,Yes,25,Verbal Reasoning. Language comprehension and logical arguments. Test type: Cognitive Ability (A). Duration: 25 minutes.,verbal reasoning. language comprehension and logical arguments. test type: cognitive ability (a). duration: 25 minutes.
Logical Reasoning,https://www.shl.com/solutions/products/product-catalog/logical-reasoning/,Pattern recognition and logical deduction,Cognitive Ability (A),Yes,Yes,25,Logical Reasoning. Pattern recognition and logical deduction. Test type: Cognitive Ability (A). Duration: 25 minutes.,logical reasoning. pattern recognition and logical deduction. test type: cognitive ability (a). duration: 25 minutes.
Abstract Reasoning,https://www.shl.com/solutions/products/product-catalog/abstract-reasoning/,Non-verbal problem solving and pattern analysis,Cognitive Ability (A),Yes,Yes,25,Abstract Reasoning. Non-verbal problem solving and pattern analysis. Test type: Cognitive Ability (A). Duration: 25 minutes.,abstract reasoning. non-verbal problem solving and pattern analysis. test type: cognitive ability (a). duration: 25 minutes.
Spatial Reasoning,https://www.shl.com/solutions/products/product-catalog/spatial-reasoning/,Visual-spatial problem solving and mental rotation,Cognitive Ability (A),Yes,Yes,25,Spatial Reasoning. Visual-spatial problem solving and mental rotation. Test type: Cognitive Ability (A). Duration: 25 minutes.,spatial reasoning. visual-spatial problem solving and mental rotation. test type: cognitive ability (a). duration: 25 minutes.
Mechanical Reasoning,https://www.shl.com/solutions/products/product-catalog/mechanical-reasoning/,Understanding mechanical principles and physics,Cognitive Ability (A),Yes,Yes,25,Mechanical Reasoning. Understanding mechanical principles and physics. Test type: Cognitive Ability (A). Duration: 25 minutes.,mechanical reasoning. understanding mechanical principles and physics. test type: cognitive ability (a). duration: 25 minutes.
Inductive Reasoning,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/,Pattern identification and rule discovery,Cognitive Ability (A),Yes,Yes,25,Inductive Reasoning. Pattern identification and rule discovery. Test type: Cognitive Ability (A). Duration: 25 minutes.,inductive reasoning. pattern identification and rule discovery. test type: cognitive ability (a). duration: 25 minutes.
Deductive Reasoning,https://www.shl.com/solutions/products/product-catalog/deductive-reasoning/,Applying rules and logical conclusions,Cognitive Ability (A),Yes,Yes,25,Deductive Reasoning. Applying rules and logical conclusions. Test type: Cognitive Ability (A). Duration: 25 minutes.,deductive reasoning. applying rules and logical conclusions. test type: cognitive ability (a). duration: 25 minutes.
Working Memory,https://www.shl.com/solutions/products/product-catalog/working-memory/,Information retention and mental manipulation,Cognitive Ability (A),Yes,Yes,25,Working Memory. Information retention and mental manipulation. Test type: Cognitive Ability (A). Duration: 25 minutes.,working memory. information retention and mental manipulation. test type: cognitive ability (a). duration: 25 minutes.
Processing Speed,https://www.shl.com/solutions/products/product-catalog/processing-speed/,Quick thinking and efficient task completion,Cognitive Ability (A),Yes,Yes,25,Processing Speed. Quick thinking and efficient task completion. Test type: Cognitive Ability (A). Duration: 25 minutes.,processing speed. quick thinking and efficient task completion. test type: cognitive ability (a). duration: 25 minutes.
Comprehension,https://www.shl.com/solutions/products/product-catalog/comprehension/,Understanding complex information and instructions,Cognitive Ability (A),Yes,Yes,25,Comprehension. Understanding complex information and instructions. Test type: Cognitive Ability (A). Duration: 25 minutes.,comprehension. understanding complex information and instructions. test type: cognitive ability (a). duration: 25 minutes.
Problem Solving Speed,https://www.shl.com/solutions/products/product-catalog/problem-solving-speed/,Rapid problem resolution and efficiency,Cognitive Ability (A),Yes,Yes,25,Problem Solving Speed. Rapid problem resolution and efficiency. Test type: Cognitive Ability (A). Duration: 25 minutes.,problem solving speed. rapid problem resolution and efficiency. test type: cognitive ability (a). duration: 25 minutes.
